"MBSA2";"MBSA7";"MBSA8";"MBSA9";"MBSA2.2";"MBSA7.2";"MBSA8.2";"MBSA9.2"
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"Disagree";4;1;4;2
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"StronglyDisagree";"Disagree";"Disagree";"StronglyAgree";1;2;2;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"StronglyAgree";"Agree";"StronglyAgree";"Disagree";4;3;4;2
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"Disagree";"Agree";"StronglyDisagree";"Agree";2;3;1;3
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"StronglyAgree";"Agree";"Agree";"Agree";4;3;3;3
"StronglyDisagree";"Agree";"StronglyDisagree";"Disagree";1;3;1;2
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"StronglyAgree";"Agree";"StronglyDisagree";"Agree";4;3;1;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"Disagree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";2;1;1;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"StronglyDisagree";"Agree";"Disagree";2;1;3;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"StronglyAgree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";4;1;1;4
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"StronglyDisagree";"StronglyAgree";"Disagree";3;1;4;2
"StronglyAgree";"StronglyDisagree";"StronglyDisagree";"StronglyDisagree";4;1;1;1
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyDisagree";"StronglyDisagree";"Agree";"Disagree";1;1;3;2
"Disagree";"Disagree";"Disagree";"Agree";2;2;2;3
"Disagree";"Agree";"StronglyDisagree";"StronglyDisagree";2;3;1;1
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"StronglyAgree";"StronglyAgree";"Disagree";"Agree";4;4;2;3
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"StronglyDisagree";"Disagree";"Agree";"StronglyAgree";1;2;3;4
"StronglyAgree";"Agree";"Agree";"StronglyAgree";4;3;3;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"StronglyAgree";"StronglyDisagree";"Agree";2;4;1;3
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"StronglyDisagree";"Agree";"StronglyDisagree";"StronglyAgree";1;3;1;4
"Agree";"StronglyDisagree";"StronglyAgree";"StronglyAgree";3;1;4;4
"Agree";"StronglyDisagree";"Disagree";"Agree";3;1;2;3
"StronglyDisagree";"Agree";"Disagree";"Agree";1;3;2;3
"StronglyAgree";"Disagree";"StronglyDisagree";"Agree";4;2;1;3
"Agree";"StronglyDisagree";"Disagree";"Agree";3;1;2;3
"Agree";"Disagree";"Disagree";"StronglyAgree";3;2;2;4
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"StronglyAgree";"Agree";"StronglyAgree";"StronglyAgree";4;3;4;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"StronglyAgree";"Disagree";"Disagree";"Agree";4;2;2;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"StronglyAgree";"StronglyDisagree";"Agree";"Disagree";4;1;3;2
"StronglyDisagree";"StronglyAgree";"Agree";"Agree";1;4;3;3
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Agree";"Disagree";"StronglyDisagree";"Disagree";3;2;1;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Disagree";"Disagree";"Disagree";"StronglyAgree";2;2;2;4
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Disagree";"Disagree";"Disagree";"Agree";2;2;2;3
"Disagree";"Disagree";"Disagree";"Disagree";2;2;2;2
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyDisagree";4;1;4;1
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Disagree";"Agree";"Disagree";"Disagree";2;3;2;2
"StronglyDisagree";"Agree";"Agree";"StronglyAgree";1;3;3;4
"StronglyAgree";"StronglyDisagree";"Agree";"Agree";4;1;3;3
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"StronglyDisagree";"StronglyAgree";3;2;1;4
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Disagree";"Disagree";"StronglyAgree";3;2;2;4
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"Disagree";"StronglyAgree";"Disagree";"Agree";2;4;2;3
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"StronglyAgree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";4;4;1;4
"Disagree";"Disagree";"Disagree";"StronglyDisagree";2;2;2;1
"StronglyAgree";"Disagree";"Agree";"Disagree";4;2;3;2
"Agree";"StronglyDisagree";"Agree";"StronglyDisagree";3;1;3;1
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"StronglyDisagree";"Agree";"Agree";"Disagree";1;3;3;2
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"StronglyAgree";"Disagree";"StronglyDisagree";"Disagree";4;2;1;2
"Disagree";"StronglyAgree";"Agree";"Agree";2;4;3;3
"StronglyDisagree";"Disagree";"Agree";"Disagree";1;2;3;2
"Disagree";"Disagree";"StronglyDisagree";"StronglyAgree";2;2;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyAgree";"StronglyDisagree";"Agree";"Disagree";4;1;3;2
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"StronglyDisagree";"Agree";"Disagree";3;1;3;2
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Disagree";"Disagree";"Disagree";"Disagree";2;2;2;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyDisagree";"StronglyAgree";"Disagree";"Disagree";1;4;2;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"Disagree";"Disagree";"StronglyAgree";2;2;2;4
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"Disagree";"Disagree";"Agree";"StronglyAgree";2;2;3;4
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"StronglyAgree";"Disagree";"StronglyAgree";"Agree";4;2;4;3
"Disagree";"Disagree";"StronglyDisagree";"Agree";2;2;1;3
"Agree";"Agree";"StronglyDisagree";"Agree";3;3;1;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyDisagree";4;1;4;1
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"StronglyDisagree";"Agree";"Agree";"Agree";1;3;3;3
"StronglyDisagree";"Disagree";"StronglyDisagree";"StronglyAgree";1;2;1;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Disagree";"StronglyDisagree";"Disagree";"StronglyAgree";2;1;2;4
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"StronglyDisagree";"StronglyAgree";3;2;1;4
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"StronglyAgree";"StronglyAgree";"StronglyAgree";3;4;4;4
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Disagree";"Disagree";"Disagree";"Agree";2;2;2;3
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";2;1;1;4
"StronglyAgree";"Disagree";"Agree";"Agree";4;2;3;3
"Disagree";"Agree";"StronglyDisagree";"Agree";2;3;1;3
"Agree";"Disagree";"StronglyDisagree";"Agree";3;2;1;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Disagree";"StronglyDisagree";"Agree";"Agree";2;1;3;3
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"StronglyAgree";"Disagree";"Agree";"StronglyDisagree";4;2;3;1
"StronglyAgree";"StronglyAgree";"StronglyAgree";"StronglyAgree";4;4;4;4
"StronglyAgree";"Disagree";"StronglyAgree";"Agree";4;2;4;3
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"StronglyAgree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";4;1;1;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyAgree";"Agree";"Disagree";"Disagree";4;3;2;2
"StronglyDisagree";"StronglyAgree";"Disagree";"Agree";1;4;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Agree";"Agree";"StronglyAgree";"StronglyAgree";3;3;4;4
"Agree";"Agree";"StronglyDisagree";"Agree";3;3;1;3
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"StronglyAgree";"Agree";"Agree";"StronglyAgree";4;3;3;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"StronglyDisagree";"Agree";3;3;1;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"StronglyAgree";"Agree";"StronglyAgree";3;4;3;4
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"StronglyAgree";"Agree";"Disagree";"StronglyAgree";4;3;2;4
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"StronglyAgree";"StronglyDisagree";"Agree";"StronglyDisagree";4;1;3;1
"Agree";"Agree";"StronglyDisagree";"Disagree";3;3;1;2
"Agree";"StronglyAgree";"StronglyDisagree";"Agree";3;4;1;3
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"StronglyAgree";"Disagree";"Disagree";"StronglyDisagree";4;2;2;1
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Agree";"Disagree";"Agree";"StronglyDisagree";3;2;3;1
"Agree";"Disagree";"StronglyDisagree";"Disagree";3;2;1;2
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyDisagree";4;1;4;1
"Agree";"StronglyDisagree";"StronglyAgree";"Agree";3;1;4;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Disagree";"StronglyAgree";"Disagree";"StronglyAgree";2;4;2;4
"StronglyAgree";"Disagree";"Agree";"Disagree";4;2;3;2
"Agree";"Disagree";"Agree";"StronglyAgree";3;2;3;4
"Agree";"Disagree";"Disagree";"StronglyAgree";3;2;2;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"StronglyAgree";"Disagree";"StronglyAgree";"Disagree";4;2;4;2
"Agree";"StronglyDisagree";"StronglyAgree";"Disagree";3;1;4;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"StronglyDisagree";"Agree";"Disagree";3;1;3;2
"StronglyAgree";"Agree";"StronglyDisagree";"Agree";4;3;1;3
"Agree";"StronglyDisagree";"Agree";"Agree";3;1;3;3
"Disagree";"Disagree";"Disagree";"StronglyAgree";2;2;2;4
"StronglyAgree";"Disagree";"StronglyDisagree";"StronglyAgree";4;2;1;4
"StronglyDisagree";"Agree";"Disagree";"Disagree";1;3;2;2
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"StronglyAgree";"StronglyDisagree";"Agree";"Disagree";4;1;3;2
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"Agree";"Disagree";"Disagree";"StronglyAgree";3;2;2;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"StronglyAgree";"Disagree";"Disagree";"Disagree";4;2;2;2
"StronglyAgree";"Agree";"Disagree";"StronglyAgree";4;3;2;4
"Agree";"StronglyAgree";"StronglyDisagree";"Agree";3;4;1;3
"StronglyAgree";"Agree";"Disagree";"Agree";4;3;2;3
"Agree";"StronglyAgree";"Disagree";"Agree";3;4;2;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Disagree";"Disagree";"Disagree";"Agree";2;2;2;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"StronglyDisagree";"Disagree";"Disagree";"Agree";1;2;2;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"Agree";"Agree";"Disagree";"StronglyDisagree";3;3;2;1
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"Agree";"Agree";"Disagree";"Disagree";3;3;2;2
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"StronglyAgree";"StronglyDisagree";"StronglyDisagree";"StronglyDisagree";4;1;1;1
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"StronglyAgree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";4;4;1;4
"Agree";"StronglyDisagree";"Disagree";"Disagree";3;1;2;2
"Agree";"Agree";"StronglyDisagree";"Agree";3;3;1;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"StronglyAgree";"Disagree";"StronglyDisagree";2;4;2;1
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"StronglyDisagree";"Agree";"Disagree";"Agree";1;3;2;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Disagree";"Agree";"StronglyAgree";3;2;3;4
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Disagree";"Disagree";"Disagree";"StronglyAgree";2;2;2;4
"Agree";"Disagree";"Agree";"StronglyAgree";3;2;3;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"StronglyAgree";"Disagree";"Disagree";"StronglyDisagree";4;2;2;1
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"StronglyAgree";"Disagree";"Agree";3;4;2;3
"Disagree";"StronglyAgree";"Disagree";"Agree";2;4;2;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyAgree";"Disagree";"Agree";"Agree";4;2;3;3
"Agree";"Agree";"StronglyDisagree";"Disagree";3;3;1;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Disagree";"Disagree";"StronglyAgree";3;2;2;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"StronglyAgree";"Disagree";3;3;4;2
"Disagree";"Agree";"Disagree";"Disagree";2;3;2;2
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"StronglyDisagree";"StronglyAgree";"Agree";"Agree";1;4;3;3
"Agree";"StronglyDisagree";"Agree";"StronglyDisagree";3;1;3;1
"StronglyDisagree";"Agree";"Agree";"Agree";1;3;3;3
"StronglyDisagree";"Agree";"Disagree";"Agree";1;3;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"StronglyDisagree";"Agree";"Disagree";3;1;3;2
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"StronglyAgree";"Agree";"StronglyAgree";2;4;3;4
"StronglyAgree";"StronglyDisagree";"Agree";"Disagree";4;1;3;2
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"Disagree";"Disagree";"Disagree";"Agree";2;2;2;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"StronglyAgree";"Agree";"Agree";"Disagree";4;3;3;2
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"StronglyDisagree";"Agree";"StronglyDisagree";3;1;3;1
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"StronglyDisagree";"Disagree";"Agree";3;1;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyDisagree";"Disagree";"Agree";"Agree";1;2;3;3
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"StronglyDisagree";"Agree";"Disagree";3;1;3;2
"Disagree";"Agree";"StronglyDisagree";"Agree";2;3;1;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"StronglyAgree";"StronglyAgree";"StronglyDisagree";"Agree";4;4;1;3
"StronglyAgree";"Disagree";"Disagree";"Disagree";4;2;2;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Disagree";"StronglyDisagree";"StronglyAgree";2;2;1;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Agree";"StronglyDisagree";"Agree";3;3;1;3
"Disagree";"StronglyAgree";"Disagree";"StronglyAgree";2;4;2;4
"StronglyAgree";"Disagree";"Disagree";"Disagree";4;2;2;2
"Agree";"Disagree";"StronglyAgree";"Disagree";3;2;4;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Disagree";"StronglyDisagree";3;2;2;1
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"StronglyAgree";"StronglyDisagree";"Disagree";"Disagree";4;1;2;2
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Disagree";"StronglyAgree";"Disagree";"Agree";2;4;2;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"StronglyDisagree";"Agree";"StronglyDisagree";"StronglyAgree";1;3;1;4
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"StronglyAgree";"StronglyAgree";"Agree";3;4;4;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"StronglyDisagree";"Agree";"Agree";3;1;3;3
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Agree";"Agree";"Agree";"StronglyDisagree";3;3;3;1
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"StronglyAgree";"Agree";"Agree";3;4;3;3
"StronglyDisagree";"Disagree";"Disagree";"Agree";1;2;2;3
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Disagree";"Disagree";"Agree";"StronglyAgree";2;2;3;4
